drug.name,Genes,PPI,GO_BP,GO_CC,GO_MF,KEGG,Reactome,score
Tanespimycin,5,26,57,43,44,39,9,31.8571428571428
Imatinib,63,3,21,34,12,66,38,33.8571428571428
Sunitinib,2,1,59,31,31,56,63,34.7142857142857
"7-[4-(Dimethylamino)Phenyl]-N-Hydroxy-4,6-Dimethyl-7-Oxo-2,4-Heptadienamide",83,41,19,54,13,41,52,43.2857142857142
Geldanamycin,32,37,87,76,47,13,21,44.7142857142857
Sorafenib,16,68,11,15,8,155,42,45
Dasatinib,41,12,43,81,62,49,35,46.1428571428571
Erlotinib,27,6,93,85,71,64,7,50.4285714285714
Etoposide,23,11,20,90,32,120,67,51.8571428571428
Celecoxib,10,2,33,42,34,180,70,53
Afimoxifene,48,45,59,110,14,78,26,54.2857142857142
Lapatinib,71,5,75,62,70,84,16,54.7142857142857
Emodin,38,17,85,39,52,112,43,55.1428571428571
Cyclic Adenosine Monophosphate,19,64,24,8,29,223,27,56.2857142857142
Selenium,9,9,61,124,92,52,48,56.4285714285714
Troglitazone,56,58,18,32,4,193,46,58.1428571428571
Acetylsalicylic acid,53,70,73,13,25,171,6,58.7142857142857
Cisplatin,18,44,54,79,36,163,20,59.1428571428571
Quercetin,50,46,28,18,22,206,51,60.1428571428571
Berberine,54,50,27,59,39,190,3,60.2857142857142
Metformin,26,98,10,51,27,187,23,60.2857142857142
Bortezomib,102,103,37,37,18,107,25,61.2857142857142
Melatonin,30,18,45,16,40,182,99,61.4285714285714
Gefitinib,20,60,15,153,38,127,50,66.1428571428571
Lithium,66,53,36,38,33,98,149,67.5714285714285
Nicotine,21,107,58,6,23,210,62,69.5714285714285
"2,6-Dihydroanthra/1,9-Cd/Pyrazol-6-One",72,121,67,68,42,65,82,73.8571428571428
Doxorubicin,8,281,14,71,2,124,17,73.8571428571428
Epigallocatechin Gallate,7,198,12,14,15,270,1,73.8571428571428
Simvastatin,4,305,5,10,7,187,8,75.1428571428571
Alvespimycin,28,19,220,136,85,21,19,75.4285714285714
Vorinostat,22,145,71,52,16,164,71,77.2857142857142
Sirolimus,17,204,6,41,9,209,57,77.5714285714285
Vitamin E,69,8,42,109,111,118,97,79.1428571428571
Indole-3-carbinol,11,47,76,122,37,121,143,79.5714285714285
Calcitriol,44,274,13,4,1,186,47,81.2857142857142
Hydrogen peroxide,12,253,3,9,17,276,5,82.1428571428571
Kaempherol,139,73,81,99,53,95,36,82.2857142857142
Estradiol,62,200,1,12,11,265,31,83.1428571428571
Butyric Acid,25,231,55,69,24,152,30,83.7142857142857
Aldosterone,82,285,9,75,55,89,2,85.2857142857142
"(1S,6BR,9AS,11R,11BR)-9A,11B-DIMETHYL-1-[(METHYLOXY)METHYL]-3,6,9-TRIOXO-1,6,6B,7,8,9,9A,10,11,11B-DECAHYDRO-3H-FURO[4,3,2-DE]INDENO[4,5-H][2]BENZOPYRAN-11-YL ACETATE",57,267,4,128,59,75,18,86.8571428571428
Ponatinib,24,38,26,46,145,150,184,87.5714285714285
Deoxycholic Acid,97,27,129,97,46,156,80,90.2857142857142
Palmitic Acid,101,218,22,40,20,196,59,93.7142857142857
LY-294002,79,392,32,5,19,132,14,96.1428571428571
"3,7,3',4'-TETRAHYDROXYFLAVONE",148,28,152,60,126,73,93,97.1428571428571
Everolimus,279,4,91,131,72,3,100,97.1428571428571
Ethanol,34,271,7,21,30,308,13,97.7142857142857
Tretinoin,70,361,2,1,3,222,28,98.1428571428571
Thalidomide,100,209,49,196,60,63,24,100.142857142857
Decitabine,39,160,31,64,45,261,116,102.285714285714
Semaxanib,35,91,126,132,219,48,68,102.714285714285
Resveratrol,1,379,17,20,5,295,12,104.142857142857
Regorafenib,6,54,79,45,193,103,260,105.714285714285
Alvocidib,45,254,112,95,56,68,112,106
Panobinostat,40,101,199,147,82,49,137,107.857142857142
ATP,99,339,23,7,76,172,53,109.857142857142
Testosterone,42,301,29,2,69,217,111,110.142857142857
Ciglitazone,51,25,82,137,88,153,239,110.714285714285
Lovastatin,109,256,41,55,75,178,61,110.714285714285
Acetylcysteine,226,248,30,43,54,93,84,111.142857142857
Fludarabine,176,21,131,118,106,53,179,112
Vandetanib,142,39,109,89,183,101,130,113.285714285714
Genistein,3,489,8,17,6,268,15,115.142857142857
Bleomycin,131,125,51,151,58,242,58,116.571428571428
Cerivastatin,137,205,68,19,63,208,121,117.285714285714
Paclitaxel,78,363,44,27,48,177,87,117.714285714285
Dinoprostone,289,188,66,11,49,161,76,120
Phenethyl Isothiocyanate,89,67,69,100,134,173,209,120.142857142857
Staurosporine,211,77,138,36,122,170,89,120.428571428571
Dihydrotestosterone,276,13,99,67,99,127,164,120.714285714285
Fenofibrate,147,104,80,150,21,199,155,122.285714285714
Propofol,166,115,25,167,144,199,44,122.857142857142
Dactolisib,159,7,103,230,280,19,66,123.428571428571
Apigenin,33,446,74,28,34,224,40,125.571428571428
GW-501516,13,22,273,214,87,205,69,126.142857142857
Capsaicin,234,141,56,33,95,176,150,126.428571428571
Isoprenaline,141,329,40,74,121,149,37,127.285714285714
Temsirolimus,58,10,178,230,211,144,64,127.857142857142
Bicalutamide,95,99,118,226,197,76,103,130.571428571428
Fluorouracil,75,233,113,146,57,195,138,136.714285714285
Rotenone,165,138,94,49,191,119,206,137.428571428571
Caffeine,94,310,52,65,105,156,185,138.142857142857
Histamine,277,242,48,29,84,92,196,138.285714285714
"4,4'-PROPANE-2,2-DIYLDIPHENOL",182,199,104,162,137,126,73,140.428571428571
Zinc sulfate,656,14,84,115,43,62,10,140.571428571428
