GO_term,Direction,P-value,Adjusted_P-value
B cell mediated immunity,down,0,0
carboxylic acid catabolic process,up,0,0
cellular lipid catabolic process,up,0,0
complement activation,down,0,0
"complement activation, classical pathway",down,0,0
detection of mechanical stimulus,down,0,0
electron transport chain,up,0,0
endoplasmic reticulum to cytosol transport,down,0,0
fatty acid metabolic process,up,0,0
fatty acid oxidation,up,0,0
glycoprotein metabolic process,down,0,0
humoral immune response mediated by circulating immunoglobulin,down,0,0
immunoglobulin mediated immune response,down,0,0
inner mitochondrial membrane protein complex,up,0,0
lipid oxidation,up,0,0
mitochondrial inner membrane,up,0,0
mitochondrial membrane part,up,0,0
mitochondrial protein complex,up,0,0
mitochondrial respiratory chain,up,0,0
monocarboxylic acid catabolic process,up,0,0
organelle inner membrane,up,0,0
organic acid catabolic process,up,0,0
oxidoreductase complex,up,0,0
phosphatidylinositol 3-kinase signaling,down,0,0
protein activation cascade,down,0,0
respiratory chain,up,0,0
respiratory chain complex,up,0,0
respiratory electron transport chain,up,0,0
"retrograde protein transport, ER to cytosol",down,0,0
small molecule catabolic process,up,0,0
"transferase activity, transferring acyl groups other than amino-acyl groups",down,0,0
ribose phosphate metabolic process,up,1e-6,2.8744999999999997e-4
lymphocyte mediated immunity,down,1e-6,3.593125e-4
N-acyltransferase activity,down,1e-6,3.593125e-4
pore complex,down,1e-6,3.593125e-4
"transferase activity, transferring acyl groups",down,1e-6,3.593125e-4
purine nucleotide metabolic process,up,2e-6,5.226363636363636e-4
tricarboxylic acid cycle,up,2e-6,5.226363636363636e-4
arachidonic acid monooxygenase activity,up,3e-6,5.563548387096773e-4
ATP synthesis coupled electron transport,up,3e-6,5.563548387096773e-4
cellular respiration,up,3e-6,5.563548387096773e-4
cofactor metabolic process,up,3e-6,5.563548387096773e-4
fatty acid beta-oxidation,up,3e-6,5.563548387096773e-4
fatty acid catabolic process,up,3e-6,5.563548387096773e-4
purine ribonucleotide metabolic process,up,3e-6,5.563548387096773e-4
purine-containing compound metabolic process,up,3e-6,5.563548387096773e-4
ribonucleotide metabolic process,up,3e-6,5.563548387096773e-4
endoplasmic reticulum subcompartment,down,2e-6,5.748999999999999e-4
negative regulation of intracellular steroid hormone receptor signaling pathway,down,2e-6,5.748999999999999e-4
negative regulation of reproductive process,down,2e-6,5.748999999999999e-4
regulation of intracellular steroid hormone receptor signaling pathway,down,2e-6,5.748999999999999e-4
lipid catabolic process,up,4e-6,5.896410256410256e-4
lipid modification,up,4e-6,5.896410256410256e-4
long-chain fatty acid metabolic process,up,4e-6,5.896410256410256e-4
mitochondrial proton-transporting ATP synthase complex,up,4e-6,5.896410256410256e-4
mitochondrial respiratory chain complex I,up,4e-6,5.896410256410256e-4
NADH dehydrogenase complex,up,4e-6,5.896410256410256e-4
"oxidoreductase activity, acting on paired donors, with incorporation or reduction of molecular oxygen",up,4e-6,5.896410256410256e-4
respiratory chain complex I,up,4e-6,5.896410256410256e-4
