Mouse.gene,Human.gene,Drugbank.id,Drug.name,Status,Geroprotector
Ahr,AHR,DB00379,Mexiletine,approved,FALSE
Ahr,AHR,DB00393,Nimodipine,approved,FALSE
Ahr,AHR,DB00499,Flutamide,approved,FALSE
Ahr,AHR,DB01076,Atorvastatin,approved,FALSE
Ahr,AHR,DB01097,Leflunomide,approved|investigational,FALSE
Ahr,AHR,DB01404,Ginseng,approved|nutraceutical,FALSE
Dbi,DBI,DB01992,Coenzyme A,nutraceutical,FALSE
Dbi,DBI,DB03381,Hexadecanal,experimental,FALSE
Keap1,KEAP1,DB08908,Dimethyl fumarate,approved|investigational,FALSE
Mapk14,MAPK14,DB01761,4-[5-[2-(1-Phenyl-Ethylamino)-Pyrimidin-4-Yl]-1-Methyl-4-(3-Trifluoromethylphenyl)-1h-Imidazol-2-Yl]-Piperidine,experimental,FALSE
Mapk14,MAPK14,DB01807,"N-[(3z)-5-Tert-Butyl-2-Phenyl-1,2-Dihydro-3h-Pyrazol-3-Ylidene]-N'-(4-Chlorophenyl)Urea",experimental,FALSE
Mapk14,MAPK14,DB01948,"1-(2,6-Dichlorophenyl)-5-(2,4-Difluorophenyl)-7-Piperidin-4-Yl-3,4-Dihydroquinolin-2(1h)-One",experimental,FALSE
Mapk14,MAPK14,DB01953,Inhibitor of P38 Kinase,experimental,FALSE
Mapk14,MAPK14,DB01988,6((S)-3-Benzylpiperazin-1-Yl)-3-(Naphthalen-2-Yl)-4-(Pyridin-4-Yl)Pyrazine,experimental,FALSE
Mapk14,MAPK14,DB02195,"3-(4-Fluorophenyl)-1-Hydroxy-2-(Pyridin-4-Yl)-1h-Pyrrolo[3,2-B]Pyridine",experimental,FALSE
Mapk14,MAPK14,DB02277,1-(5-Tert-Butyl-2-Methyl-2h-Pyrazol-3-Yl)-3-(4-Chloro-Phenyl)-Urea,experimental,FALSE
Mapk14,MAPK14,DB02352,3-(Benzyloxy)Pyridin-2-Amine,experimental,FALSE
Mapk14,MAPK14,DB02873,"1-(2,6-Dichlorophenyl)-5-(2,4-Difluorophenyl)-7-Piperazin-1-Yl-3,4-Dihydroquinazolin-2(1h)-One",experimental,FALSE
Mapk14,MAPK14,DB02984,"4-[3-Methylsulfanylanilino]-6,7-Dimethoxyquinazoline",experimental,FALSE
Mapk14,MAPK14,DB03044,1-(5-Tert-Butyl-2-P-Tolyl-2h-Pyrazol-3-Yl)-3-[4-(2-Morpholin-4-Yl-Ethoxy)-Naphthalen-1-Yl]-Urea,experimental,FALSE
Mapk14,MAPK14,DB03110,2-Chlorophenol,experimental,FALSE
Mapk14,MAPK14,DB03980,4-(Fluorophenyl)-1-Cyclopropylmethyl-5-(2-Amino-4-Pyrimidinyl)Imidazole,experimental,FALSE
Mapk14,MAPK14,DB04338,SB220025,experimental,FALSE
Mapk14,MAPK14,DB04632,4-(2-HYDROXYBENZYLAMINO)-N-(3-(4-FLUOROPHENOXY)PHENYL)PIPERIDINE-1-SULFONAMIDE,experimental,FALSE
Mapk14,MAPK14,DB04797,Triazolopyridine,experimental,FALSE
Mapk14,MAPK14,DB05157,KC706,investigational,FALSE
Mapk14,MAPK14,DB05412,SCIO-469,investigational,FALSE
Mapk14,MAPK14,DB05470,VX-702,investigational,FALSE
Mapk14,MAPK14,DB06882,1-[1-(3-aminophenyl)-3-tert-butyl-1H-pyrazol-5-yl]-3-naphthalen-1-ylurea,experimental,FALSE
Mapk14,MAPK14,DB06940,"N-ethyl-4-{[5-(methoxycarbamoyl)-2-methylphenyl]amino}-5-methylpyrrolo[2,1-f][1,2,4]triazine-6-carboxamide",experimental,FALSE
Mapk14,MAPK14,DB06991,"N-[2-methyl-5-(methylcarbamoyl)phenyl]-2-{[(1R)-1-methylpropyl]amino}-1,3-thiazole-5-carboxamide",experimental,FALSE
Mapk14,MAPK14,DB07138,"5-(2,6-dichlorophenyl)-2-[(2,4-difluorophenyl)sulfanyl]-6H-pyrimido[1,6-b]pyridazin-6-one",experimental,FALSE
Mapk14,MAPK14,DB07307,N-cyclopropyl-4-methyl-3-[1-(2-methylphenyl)phthalazin-6-yl]benzamide,experimental,FALSE
Mapk14,MAPK14,DB07459,4-PHENOXY-N-(PYRIDIN-2-YLMETHYL)BENZAMIDE,experimental,FALSE
Mapk14,MAPK14,DB07607,4-[5-(3-IODO-PHENYL)-2-(4-METHANESULFINYL-PHENYL)-1H-IMIDAZOL-4-YL]-PYRIDINE,experimental,FALSE
Mapk14,MAPK14,DB07811,"N-cyclopropyl-2',6-dimethyl-4'-(5-methyl-1,3,4-oxadiazol-2-yl)biphenyl-3-carboxamide",experimental,FALSE
