drug.name,k,l,m,n,OR,pvalue,adj.pvalue
(2S)-1-(1H-INDOL-3-YL)-3-{[5-(3-METHYL-1H-INDAZOL-5-YL)PYRIDIN-3-YL]OXY}PROPAN-2-AMINE,65,13,17,199,56.8640407068884,8.16538987844447E-36,6.17771397774824E-32
Aminacrine,65,13,17,199,56.8640407068884,8.16538987844447E-36,6.17771397774824E-32
Everolimus,68,18,14,194,50.9623713752411,1.64899785501227E-35,8.31724898205504E-32
Isoflavone,63,12,19,200,53.8377755339929,1.46673031603991E-34,4.4387545529978E-31
ZSTK-474,63,12,19,200,53.8377755339929,1.46673031603991E-34,4.4387545529978E-31
Pictilisib,62,11,20,201,55.0991621108503,2.41532428953917E-34,6.09123093381855E-31
Buparlisib,64,15,18,197,45.492378127178696,2.03215579859142E-33,3.2852460864867E-30
Apitolisib,64,15,18,197,45.492378127178696,2.03215579859142E-33,3.2852460864867E-30
Sonolisib,61,11,21,201,51.6708108770238,2.17113605772467E-33,3.2852460864867E-30
"5-QUINOXALIN-6-YLMETHYLENE-THIAZOLIDINE-2,4-DIONE",61,11,21,201,51.6708108770238,2.17113605772467E-33,3.2852460864867E-30
Belinostat,65,18,17,194,40.275704497535,1.84233058291564E-32,2.53428669123127E-29
"N-Butyl-11-[(7r,8r,9s,13s,14s,17s)-3,17-Dihydroxy-13-Methyl-7,8,9,11,12,13,14,15,16,17-Decahydro-6h-Cyclopenta[a]Phenanthren-7-Yl]-N-Methylundecanamide",58,9,24,203,53.1106043258032,3.55471834387076E-32,4.48234020395851E-29
Geldanamycin,75,40,7,172,45.2152944794853,7.80656861880818E-32,9.08652227786531E-29
6-BENZYL-1-BENZYLOXYMETHYL-5-ISOPROPYL URACIL,57,9,25,203,50.1513726890824,2.80946680223091E-31,2.50066692431117E-28
GSK-690693,57,9,25,203,50.1513726890824,2.80946680223091E-31,2.50066692431117E-28
Ipatasertib,57,9,25,203,50.1513726890824,2.80946680223091E-31,2.50066692431117E-28
Acadesine,57,9,25,203,50.1513726890824,2.80946680223091E-31,2.50066692431117E-28
Finasteride,61,14,21,198,40.1175066103821,3.00150493276019E-31,2.52317529004578E-28
Dactolisib,69,28,13,184,34.2023099200269,6.97274822210657E-31,5.51877525842267E-28
N-(2-AMINOETHYL)-2-{3-CHLORO-4-[(4-ISOPROPYLBENZYL)OXY]PHENYL} ACETAMIDE,62,16,20,196,37.1037984113447,7.2944380071412E-31,5.51877525842267E-28
Alvespimycin,64,20,18,192,33.4456513931921,2.62278510784662E-30,1.8898367100513E-27
Cediranib,58,12,24,200,39.3362836425463,6.35642516469222E-30,4.37190910471486E-27
Tadalafil,57,11,25,201,40.7595772474036,9.26124151314979E-30,6.09287460736892E-27
Vemurafenib,65,23,17,189,30.7911084807823,1.41405106707078E-29,8.91527448202832E-27
AZD-5363,66,25,16,187,30.2521573024663,1.82606954949148E-29,1.10524401633426E-26
Triciribine,65,24,17,188,29.368998481696,4.81858181136922E-29,2.80431474535655E-26
Gentamicin,72,39,10,173,31.4283664048441,6.70660979533002E-29,3.75854834927629E-26
Saracatinib,63,21,19,191,29.58548269101,8.10869387198489E-29,4.38201379060748E-26
Propanoic Acid,60,17,22,195,30.6400625332439,1.92613145043086E-28,1.00500631631001E-25
Clodronic Acid,57,13,25,199,34.1424039219865,2.27741245094482E-28,1.14868593259627E-25
Lenalidomide,71,38,11,174,29.0650736392195,2.75000915772693E-28,1.34231150569713E-25
Dexanabinol,62,21,20,191,27.6626271865151,6.43086438965802E-28,3.04088670446331E-25
Dronabinol,72,42,10,170,28.6608141570903,1.18929415753949E-27,5.45326009595508E-25
Cupric sulfate,69,35,13,177,26.3940569317576,1.36717616762368E-27,6.08452148174207E-25
Tauroursodeoxycholic acid,65,27,17,185,25.7264838643153,1.60117192288395E-27,6.92230591804892E-25
Midostaurin,58,16,24,196,28.9994643183087,2.56851588341028E-27,1.07959439586047E-24
Azilsartan medoxomil,57,15,25,197,29.3500083692849,4.39382229441648E-27,1.79689057456776E-24
nocodazole,75,52,7,160,32.4792158190892,5.00366889069948E-27,1.99244266646778E-24
Tanespimycin,73,47,9,165,28.0454125352611,9.96955400753287E-27,3.8680492037426E-24
K-252a,66,31,16,181,23.6853256214598,1.50165297851707E-26,5.6805509187024E-24
"7-[4-(Dimethylamino)Phenyl]-N-Hydroxy-4,6-Dimethyl-7-Oxo-2,4-Heptadienamide",77,60,5,152,38.4946363883565,1.6168856180487E-26,5.96727850750275E-24
Anisomycin,73,48,9,164,27.3031638055585,2.38548001092737E-26,8.329843180627E-24
Tocotrienol,62,24,20,188,23.8510047530938,2.42219238978119E-26,8.329843180627E-24
Lipoic Acid,62,24,20,188,23.8510047530938,2.42219238978119E-26,8.329843180627E-24
Gatifloxacin,60,21,22,191,24.3633912670759,3.50983651029545E-26,1.18019899394056E-23
Guanine,65,30,17,182,22.8256042778345,4.20850060542795E-26,1.38436442012123E-23
Rilmenidine,57,17,25,195,25.6588524721042,6.90112506282118E-26,2.2217894816946E-23
Semaxanib,63,27,19,185,22.3408343056002,9.69088577066137E-26,3.0549429448259E-23
Dasatinib,72,47,10,165,24.9035884759962,1.06610866875647E-25,3.22635637627635E-23
Panobinostat,72,47,10,165,24.9035884759962,1.06610866875647E-25,3.22635637627635E-23
"2',4,4'-Trihydroxychalcone",64,29,18,183,22.0612216159442,1.12318824673253E-25,3.33244692094692E-23
Selenium,74,53,8,159,27.3661537611681,1.42426557047623E-25,4.14446521502061E-23
Fludarabine,69,40,13,172,22.4827806765175,1.70769600865582E-25,4.78517329192792E-23
Idelalisib,69,40,13,172,22.4827806765175,1.70769600865582E-25,4.78517329192792E-23
Fenretinide,72,48,10,164,24.24459283368,2.51572836177807E-25,6.92120834895697E-23
Diazoxide,67,36,15,176,21.5045100569186,2.78216796910259E-25,7.38566078612648E-23
Sunitinib,67,36,15,176,21.5045100569186,2.78216796910259E-25,7.38566078612648E-23
Melphalan,73,51,9,161,25.2487056369133,3.03248495276058E-25,7.91136692918258E-23
Potassium Chloride,64,30,18,182,21.2132254752913,3.20998694293241E-25,8.23250722949118E-23
7-Hydroxystaurosporine,56,17,26,195,24.2638348013382,4.52852724998524E-25,1.14205390096968E-22
CEP-1347,61,25,21,187,21.3638440672772,5.40413476951467E-25,1.34053205253869E-22
Zinc sulfate,72,49,10,163,23.612091762253,5.86178929992818E-25,1.43060382165593E-22
Thalidomide,75,58,7,154,28.0620916469339,6.56104158968321E-25,1.57584358388868E-22
Erlotinib,70,44,12,168,21.9566129549333,7.06907040750177E-25,1.67133381397818E-22
"2,6-Dihydroanthra/1,9-Cd/Pyrazol-6-One",77,65,5,147,34.3977829747301,7.46747065955277E-25,1.73836526188611E-22
Imatinib,76,62,6,150,30.2726359878869,1.11464327849957E-24,2.5173405137548E-22
Andrographolide,76,62,6,150,30.2726359878869,1.11464327849957E-24,2.5173405137548E-22
Losartan,75,59,7,153,27.4126429583332,1.42654563777955E-24,3.0836742668401E-22
Zoledronic acid,75,59,7,153,27.4126429583332,1.42654563777955E-24,3.0836742668401E-22
Alvocidib,75,59,7,153,27.4126429583332,1.42654563777955E-24,3.0836742668401E-22
Dexmedetomidine,65,34,17,178,19.7185163657942,2.39983830687577E-24,5.11451550115268E-22
Ganciclovir,59,23,23,189,20.7343057446048,2.54631008080407E-24,5.3513044461092E-22
"3,7,3',4'-TETRAHYDROXYFLAVONE",72,51,10,161,22.420443051466,3.06808411652309E-24,6.34191468750912E-22
Miltefosine,57,20,25,192,21.5161202409199,3.10149616650617E-24,6.34191468750912E-22
"(1S,6BR,9AS,11R,11BR)-9A,11B-DIMETHYL-1-[(METHYLOXY)METHYL]-3,6,9-TRIOXO-1,6,6B,7,8,9,9A,10,11,11B-DECAHYDRO-3H-FURO[4,3,2-DE]INDENO[4,5-H][2]BENZOPYRAN-11-YL ACETATE",78,71,4,141,38.2651170958474,3.65285295978006E-24,7.36973367648224E-22
Bicalutamide,70,47,12,165,20.209102680458,9.24606032274322E-24,1.81696626463564E-21
Formoterol,70,47,12,165,20.209102680458,9.24606032274322E-24,1.81696626463564E-21
Afimoxifene,76,65,6,147,28.3121897595177,1.03899545696295E-23,2.01557940654171E-21
Quinacrine,67,40,15,172,18.9388789990611,1.13683067241468E-23,2.17745685199421E-21
Equol,71,50,11,162,20.6283514988981,1.25851534541986E-23,2.35100938647146E-21
Hydroquinone,71,50,11,162,20.6283514988981,1.25851534541986E-23,2.35100938647146E-21
Titanium dioxide,66,38,16,174,18.6221073125303,1.3997898451636E-23,2.58303239413617E-21
Guanosine,69,45,13,167,19.4322588580135,1.42956871264932E-23,2.60620041057408E-21
Lapatinib,73,56,9,156,22.3078024673635,1.66788896581033E-23,3.00447583986949E-21
Glycochenodeoxycholic Acid,63,32,19,180,18.3814931167368,1.71817810091261E-23,3.03034292126731E-21
Agmatine,64,34,18,178,18.3454630570291,1.72230222180292E-23,3.03034292126731E-21
